MECHBUFFDAMAGE,MECHDEBUFFDAMAGE,MECHBUFFCRIT,MECHDEBUFFCRIT,MECHBUFFCRITDAMAGE,MECHDEBUFFCRITDAMAGE,MECHBUFFACCURACY,MECHDEBUFFACCURACY,MECHBUFFDODGE,MECHDEBUFFDODGE,MECHBUFFARMOR,MECHDEBUFFARMOR
Strong,Weak,Lucky,Unlucky,,,Keen,Drunk,Slippery,,Solid,Melt
Powerful,Sapped,fortuitous,hapless,,,Sight,,,,armored,Shred
Enrage,Meek,successful,miserable,,,,,,,,
able,anemic,advantageous,tragic,,,,,,,,
active,feeble,adventitious,unhappy,,,,,,,,
athletic,fragile,auspicious,luckless,,,,,,,,
big,frail,beneficial,afflicted,,,,,,,,
capable,hesitant,benign,bad break,,,,,,,,
durable,powerless,blessed,behind eight ball,,,,,,,,
energetic,shaky,charmed,calamitous,,,,,,,,
firm,sickly,felicitous,cataclysmic,,,,,,,,
forceful,sluggish,golden,catastrophic,,,,,,,,
heavy,uncertain,holding aces,cursed,,,,,,,,
robust,unsteady,hopeful,dire,,,,,,,,
secure,weakened,in the groove,disastrous,,,,,,,,
solid,wobbly,into something,down on luck,,,,,,,,
stable,debilitated,on a roll,hard luck,,,,,,,,
steady,decrepit,promising,ill-fated,,,,,,,,
substantial,delicate,propitious,ill-starred,,,,,,,,
tenacious,effete,prosperous,inauspicious,,,,,,,,
tough,enervated,providential,ominous,,,,,,,,
vigorous,exhausted,serendipitous,out of luck,,,,,,,,
able-bodied,faint,striking it rich,star-crossed,,,,,,,,
enduring,flaccid,timely,tough luck,,,,,,,,
fixed,flimsy,,unfavorable,,,,,,,,
forcible,forceless,,unsuccessful,,,,,,,,
hale,impuissant,,untimely,,,,,,,,
hard as nails,infirm,,untoward,,,,,,,,
hardy,insubstantial,,,,,,,,,,
hearty,irresolute,,,,,,,,,,
heavy-duty,lackadaisical,,,,,,,,,,
in fine feather,languid,,,,,,,,,,
mighty,languorous,,,,,,,,,,
muscular,limp,,,,,,,,,,
reinforced,makeshift,,,,,,,,,,
rugged,out of gas,,,,,,,,,,
sinewy,prostrate,,,,,,,,,,
sound,puny,,,,,,,,,,
stalwart,rickety,,,,,,,,,,
stark,rocky,,,,,,,,,,
staunch,rotten,,,,,,,,,,
stout,senile,,,,,,,,,,
strapping,spent,,,,,,,,,,
sturdy,spindly,,,,,,,,,,
unyielding,supine,,,,,,,,,,
,tender,,,,,,,,,,
,torpid,,,,,,,,,,
,undependable,,,,,,,,,,
,unsound,,,,,,,,,,
,unsubstantial,,,,,,,,,,
,wasted,,,,,,,,,,
,wavering,,,,,,,,,,
,weakly,,,,,,,,,,
